linkID,pollutantID,sourceTypeID,ratePerDistance
1,1,11,15.23490047
1,2,11,158.8800049
1,3,11,4.726580143
1,90,11,5021.27002
1,91,11,69869.20313
1,110,11,0.109682001
1,112,11,0.0124309
1,115,11,0.00302454
1,118,11,0.097251497
1,119,11,0
2,1,11,13.53530025
2,2,11,110.3300018
2,3,11,2.292639971
2,90,11,1330.619995
2,91,11,18515.09961
2,110,11,0.112213999
2,112,11,0.0149623
2,115,11,0.00302454
2,118,11,0.097251497
2,119,11,0
3,1,11,21.73789978
3,2,11,179.673996
3,3,11,3.064160109
3,90,11,4946.680176
3,91,11,68831.39844
3,110,11,0.113652997
3,112,11,0.016401799
3,115,11,0.00302454
3,118,11,0.097251497
3,119,11,0
4,1,11,24.61910057
4,2,11,200.8009949
4,3,11,4.20539999
4,90,11,5095.160156
4,91,11,70897.39844
4,110,11,0.116856001
4,112,11,0.0196047
4,115,11,0.00302454
4,118,11,0.097251497
4,119,11,0
5,1,11,27.46710014
5,2,11,221.4250031
5,3,11,5.555620193
5,90,11,6836.740234
5,91,11,95130.89844
5,110,11,0.117577001
5,112,11,0.0203251
5,115,11,0.00302454
5,118,11,0.097251497
5,119,11,0
6,1,11,30.39240074
6,2,11,242.3710022
6,3,11,7.18667984
6,90,11,8017.680176
6,91,11,111563
6,110,11,0.126975998
6,112,11,0.029725
6,115,11,0.00302454
6,118,11,0.097251497
6,119,11,0
7,1,11,33.75370026
7,2,11,266.1759949
7,3,11,9.384389877
7,90,11,9172.870117
7,91,11,127637
7,110,11,0.141903996
7,112,11,0.044652902
7,115,11,0.00302454
7,118,11,0.097251497
7,119,11,0
8,1,11,40.30329895
8,2,11,311.8599854
8,3,11,14.73379993
8,90,11,10745.2002
8,91,11,149516
8,110,11,0.242446005
8,112,11,0.145193994
8,115,11,0.00302454
8,118,11,0.097251497
8,119,11,0
9,1,11,24.35689926
9,2,11,273.0230103
9,3,11,12.34669971
9,90,11,7433.899902
9,91,11,103440
9,110,11,0.115708001
9,112,11,0.018456001
9,115,11,0.00302454
9,118,11,0.097251497
9,119,11,0
10,1,11,27.99510002
10,2,11,314.5419922
10,3,11,14.28180027
10,90,11,8406.44043
10,91,11,116973
10,110,11,0.111856997
10,112,11,0.0146053
10,115,11,0.00302454
10,118,11,0.097251497
10,119,11,0
11,1,11,30.43149948
11,2,11,342.3970032
11,3,11,15.58430004
11,90,11,9118.320313
11,91,11,126878
11,110,11,0.114826001
11,112,11,0.017574299
11,115,11,0.00302454
11,118,11,0.097251497
11,119,11,0
12,1,11,33.30329895
12,2,11,375.2780151
12,3,11,17.1257
12,90,11,10203.2998
12,91,11,141975
12,110,11,0.120815001
12,112,11,0.0235637
12,115,11,0.00302454
12,118,11,0.097251497
12,119,11,0
13,1,11,36.30670166
13,2,11,409.7179871
13,3,11,18.74419975
13,90,11,10958.5
13,91,11,152483
13,110,11,0.144611999
13,112,11,0.0473601
13,115,11,0.00302454
13,118,11,0.097251497
13,119,11,0
14,1,11,40.97439957
14,2,11,463.3349915
14,3,11,21.27169991
14,90,11,14031.5
14,91,11,195244
14,110,11,0.166766003
14,112,11,0.069514699
14,115,11,0.00302454
14,118,11,0.097251497
14,119,11,0
15,1,11,48.9197998
15,2,11,554.8359985
15,3,11,25.60379982
15,90,11,18194.19922
15,91,11,253166
15,110,11,0.462087989
15,112,11,0.364836007
15,115,11,0.00302454
15,118,11,0.097251497
15,119,11,0
16,1,11,58.47090149
16,2,11,665.15802
16,3,11,30.85409927
16,90,11,25477
16,91,11,354504
16,110,11,1.151630044
16,112,11,1.054380059
16,115,11,0.00302454
16,118,11,0.097251497
16,119,11,0
17,1,11,70.80490112
17,2,11,808.0709839
17,3,11,37.69200134
17,90,11,31800.40039
17,91,11,442491
17,110,11,3.09871006
17,112,11,3.001460075
17,115,11,0.00302454
17,118,11,0.097251497
17,119,11,0
18,1,11,33.64030075
18,2,11,710.6359863
18,3,11,51.14250183
18,90,11,9689.780273
18,91,11,134830
18,110,11,0.135159001
18,112,11,0.037907299
18,115,11,0.00302454
18,118,11,0.097251497
18,119,11,0
19,1,11,38.2417984
19,2,11,791.0130005
19,3,11,53.60580063
19,90,11,11573.90039
19,91,11,161047
19,110,11,0.131187007
19,112,11,0.0339351
19,115,11,0.00302454
19,118,11,0.097251497
19,119,11,0
20,1,11,41.65679932
20,2,11,849.6329956
20,3,11,55.31489944
20,90,11,14803.2002
20,91,11,205981
20,110,11,0.143981993
20,112,11,0.046730898
20,115,11,0.00302454
20,118,11,0.097251497
20,119,11,0
21,1,11,45.36230087
21,2,11,912.3549805
21,3,11,57.07189941
21,90,11,18981.09961
21,91,11,264115
21,110,11,0.177159995
21,112,11,0.079908602
21,115,11,0.00302454
21,118,11,0.097251497
21,119,11,0
22,1,11,49.8655014
22,2,11,987.4619751
22,3,11,59.08869934
22,90,11,24867.30078
22,91,11,346020
22,110,11,0.300366998
22,112,11,0.203115001
22,115,11,0.00302454
22,118,11,0.097251497
22,119,11,0
23,1,11,57.83269882
23,2,11,1117.689941
23,3,11,62.39139938
23,90,11,31433.59961
23,91,11,437388
23,110,11,0.31950599
23,112,11,0.222253993
23,115,11,0.00302454
23,118,11,0.097251497
23,119,11,0
1,1,21,1.226999998
1,2,21,12.91090012
1,3,21,0.774537981
1,90,21,3759.570068
1,91,21,52305.80078
1,110,21,0.045416899
1,112,21,0.00721446
1,115,21,0.00125172
1,118,21,0.038202502
1,119,21,0
2,1,21,0.907700002
2,2,21,11.4769001
2,3,21,1.803189993
2,90,21,3465.429932
2,91,21,48213.60156
2,110,21,0.044170901
2,112,21,0.00596849
2,115,21,0.00125172
2,118,21,0.038202502
2,119,21,0
3,1,21,0.980857015
3,2,21,31.29240036
3,3,21,1.371299982
3,90,21,5347.5
3,91,21,74397.70313
3,110,21,0.044563401
3,112,21,0.00636099
3,115,21,0.00125172
3,118,21,0.038202502
3,119,21,0
4,1,21,1.21231997
4,2,21,51.71609879
4,3,21,2.725749969
4,90,21,7203.220215
4,91,21,100215
4,110,21,0.045657001
4,112,21,0.00745451
4,115,21,0.00125172
4,118,21,0.038202502
4,119,21,0
5,1,21,1.648630023
5,2,21,62.36299896
5,3,21,5.691209793
5,90,21,9979.719727
